日時,$bbs_pass,スレッド番号,スレッド名,カテゴリ,スレ作成orレス,レス番号,名前,age、sage,ユーザーID,プライベートモード,初回アクセス時間,CookieA発行,ユニークCookieA,登録ID,書込ID,ホスト,文字数,レス内容,画像1,画像1のMD5（変換前）,画像1のMD5（変換後）,画像2,画像2のMD5（変換前）,画像2のMD5（変換後）,画像3,画像3のMD5（変換前）,画像3のMD5（変換後）,画像4,画像4のMD5（変換前）,画像4のMD5（変換後）,画像5,画像5のMD5（変換前）,画像5のMD5（変換後）,画像6,画像6のMD5（変換前）,画像6のMD5（変換後）,UserAgent
17/09/04 10:52:41,bbs1,17,スマホ向け（MD5を短く）,-,レス,21,名無し,age,aI3yG4HI,-,170904_1042,発行,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504489961-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:20:29,bbs1,17,スマホ向け（MD5を短く）,-,レス,22,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491629-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:20:40,bbs1,17,スマホ向け（MD5を短く）,-,レス,23,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491640-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:20:42,bbs1,17,スマホ向け（MD5を短く）,-,レス,24,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491642-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:20:49,bbs1,17,スマホ向け（MD5を短く）,-,レス,25,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491649-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:21:07,bbs1,17,スマホ向け（MD5を短く）,-,レス,26,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491667-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:21:30,bbs1,17,スマホ向け（MD5を短く）,-,レス,27,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491690-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:21:45,bbs1,17,スマホ向け（MD5を短く）,-,レス,28,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491705-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:23:13,bbs1,17,スマホ向け（MD5を短く）,-,レス,29,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491793-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
17/09/04 11:25:08,bbs1,17,スマホ向け（MD5を短く）,-,レス,30,名無し,age,aI3yG4HI,-,170904_1042,-,170904_aI_1052,-,-,ik1-343-31640.vs.sakura.ne.jp,0,-,00002/1504491908-1.gif,e1d7e143e8237220a88096f29c36c033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mozilla/5.0 (Windows NT 6.3; WOW64; rv55.0) Gecko/20100101 Firefox/55.0
